Ticker,CIK,Company,Sector,Sub-Industry,Headquarters,Date_Added,Founded_Year
MMM,0000066740,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,1902
AOS,0000091142,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,1916
ABT,0000001800,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1888
ABBV,0001551152,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,2013 (1888)
ACN,0001467373,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1989
ADBE,0000796343,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,1982
AMD,0000002488,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,1969
AES,0000874761,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,1981
AFL,0000004977,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,1955
A,0001090872,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1999
APD,0000002969,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,1940
ABNB,0001559720,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,2008
AKAM,0001086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1998
ALB,0000915913,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,1994
ARE,0001035443,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1994
ALGN,0001097149,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1997
ALLE,0001579241,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1908
LNT,0000352541,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,1917
ALL,0000899051,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,1931
GOOGL,0001652044,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1998
GOOG,0001652044,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1998
MO,0000764180,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,1985
AMZN,0001018724,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1994
AMCR,0001748790,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,2019 (1860)
AEE,0001002910,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1902
AAL,0000006201,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",2015-03-23,1934
AEP,0000004904,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,1906
AXP,0000004962,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,1850
AIG,0000005272,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,1919
AMT,0001053507,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1995
AWK,0001410636,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1886
AMP,0000820027,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,1894
AME,0001037868,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1930
AMGN,0000318154,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,1980
APH,0000820313,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,1932
ADI,0000006281,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965
ANSS,0001013462,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1969
AON,0000315293,Aon,Financials,Insurance Brokers,"London, UK",1996-04-23,1982 (1919)
APA,0001841666,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,1954
AAPL,0000320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,1977
AMAT,0000006951,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,1967
APTV,0001521332,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",2012-12-24,1994
ACGL,0000947484,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,1995
ADM,0000007084,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,1902
ANET,0001596532,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,2004
AJG,0000354190,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,1927
AIZ,0001267238,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,1892
T,0000732717,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,1983 (1885)
ATO,0000731802,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,1906
ADSK,0000769397,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,1982
ADP,0000008670,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,1949
AZO,0000866787,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1997-01-02,1979
AVB,0000915912,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",2007-01-10,1978
AVY,0000008818,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987-12-31,1990
AXON,0001069183,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,1993
BKR,0001701605,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,2017
BALL,0000009389,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1984-10-31,1880
BAC,0000070858,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,1998 (1923 / 1874)
BK,0001390777,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,1784
BBWI,0000701985,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio",1983-09-30,1963
BAX,0000010456,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,1931
BDX,0000010795,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,1897
BRK.B,,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1839
BBY,0000764478,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,1966
BIO,0000012208,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,"Hercules, California",2020-06-22,1952
TECH,0000842023,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,1976
BIIB,0000875045,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,1978
BLK,0001364742,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011-04-04,1988
BX,0001393818,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1985
BA,0000012927,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",1957-03-04,1916
BKNG,0001075531,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",2009-11-06,1996
BWA,0000908255,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,1880
BSX,0000885725,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1995-02-24,1979
BMY,0000014272,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,1989 (1887)
AVGO,0001730168,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014-05-08,1961
BR,0001383312,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1962
BRO,0000079282,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,1939
BF.B,,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,1870
BLDR,0001316835,Builders FirstSource,Industrials,Building Products,"Irving, Texas",2023-12-18,1998
BG,0001144519,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",2023-03-15,1818
BXP,0001037540,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,1970
CHRW,0001043277,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1905
CDNS,0000813672,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,1988
CZR,0001590895,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021-03-22,1973
CPT,0000906345,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",2022-04-04,1981
CPB,0000016732,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,1869
COF,0000927628,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,1994
CAH,0000721371,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,1971
KMX,0001170010,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",2010-06-28,1993
CCL,0000815097,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,1972
CARR,0001783180,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,"2020 (1915, United Technologies spinoff)"
CTLT,0001596783,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,2007
CAT,0000018230,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,1925
CBOE,0001374310,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1973
CBRE,0001138118,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,1906
CDW,0001402057,CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",2019-09-23,1984
CE,0001306830,Celanese,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,1918
COR,,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1985
CNC,0001071739,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1984
CNP,0001130310,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1882
CF,0001324404,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1946
CRL,0001100682,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1947
SCHW,0000316709,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,1971
CHTR,0001091667,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1993
CVX,0000093410,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,1879
CMG,0001058090,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1993
CB,0000896159,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,1985
CHD,0000313927,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,1847
CI,0001739940,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1982
CINF,0000020286,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,1950
CTAS,0000723254,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,1929
CSCO,0000858877,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,1984
C,0000831001,Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,1998
CFG,0000759944,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,1828
CLX,0000021076,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,1913
CME,0001156375,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1848
CMS,0000811156,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,1886
KO,0000021344,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,1886
CTSH,0001058290,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1994
CL,0000021665,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,1806
CMCSA,0001166691,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1963
CAG,0000023217,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,1919
COP,0001163165,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,2002
ED,0001047862,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1957-03-04,1823
STZ,0000016918,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",2005-07-01,1945
CEG,0001868275,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2022-02-02,1999
COO,0000711404,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,1958
CPRT,0000900075,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,1982
GLW,0000024741,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,1851
CPAY,,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,2000
CTVA,0001755672,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,2019
CSGP,0001057352,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022-09-19,1987
COST,0000909832,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,1976
CTRA,0000858470,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,2021 (1989)
CRWD,0001535527,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",2024-06-24,2011
CCI,0001051470,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012-03-14,1994
CSX,0000277948,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",1957-03-04,1980
CMI,0000026172,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,1919
CVS,0000064803,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,1996
DHR,0000313616,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",1998-11-18,1969
DRI,0000940944,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1995-05-31,1938
DVA,0000927066,DaVita,Health Care,Health Care Services,"Denver, Colorado",2008-07-31,1979
DAY,,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",2021-09-20,1992
DECK,0000910521,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",2024-03-18,1973
DE,0000315189,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,1837
DAL,0000027904,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2013-09-11,1929
DVN,0001090012,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1971
DXCM,0001093557,Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1999
FANG,0001539838,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,2007
DLR,0001297996,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,2004
DFS,0001393612,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1985
DG,0000029534,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,1939
DLTR,0000935703,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,1986
D,0000715957,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",2016-11-30,1983
DPZ,0001286681,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1960
DOV,0000029905,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,1955
DOW,0001751788,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,2019 (1897)
DHI,0000882184,DR Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,1978
DTE,0000936340,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,1995
DUK,0001326160,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1904
DD,0001666700,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,2017 (1802)
EMN,0000915389,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",1994-01-01,1920
ETN,0001551182,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1957-03-04,1911
EBAY,0001065088,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",2002-07-22,1995
ECL,0000031462,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,1923
EIX,0000827052,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,1886
EW,0001099800,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1958
EA,0000712515,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,1982
ELV,0001156039,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,2014 (1946)
